Run	pheno	Project	MIC	pdst_method1	pdst_method2	pdst_method3	pdst_classification	country	Lineage	Sublineage
ERR2515921	S	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE4	lineage4.8
ERR2515922	S	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE4	lineage4.4.1.1
ERR2515923	S	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE4	lineage4.3.2.1
ERR2515925	S	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE2	lineage2.2.1
ERR2515927	S	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE4	lineage4.3.2.1
ERR2515928	S	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE4	lineage4.8
ERR2515929	S	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE4	lineage4.8
ERR2515930	S	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE2	lineage2.2.1
ERR2515931	R	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE4	lineage4.9.x.x
ERR2515932	S	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE4	lineage4.3.2
ERR2515933	R	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE2	lineage2.2.2
ERR2515934	R	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE4	lineage4.4.1.1
ERR2515935	S	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE2	lineage2.2.1
ERR2515936	R	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE4	lineage4.3.3
ERR2515937	R	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE4	lineage4.1.2.1
ERR2515938	R	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE4	lineage4.3.2.1
ERR2515939	S	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE4	lineage4.3.2.1
ERR2515940	S	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE2	lineage2.2.1
ERR2515941	S	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE4	lineage4.3.2
ERR2515942	S	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE2	lineage2.2.1.1
ERR2515943	S	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE2	lineage2.2.1
ERR2515944	S	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE4	lineage4.1.1.2
ERR2515945	S	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE3	lineage3.x.x.x
ERR2515946	S	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE2	lineage2.2.1
ERR2515947	S	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE2	lineage2.2.1
ERR2515948	R	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE4	lineage4.3.3
ERR2515949	R	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE2	lineage2.2.1
ERR2515950	R	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE4	lineage4.1.1.1
ERR2515951	S	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE4	lineage4.3.2.1
ERR2515952	R	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE4	lineage4.4.1.1
ERR2515953	S	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE4	lineage4.9.x.x
ERR2515954	S	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	NA	NA
ERR2515955	S	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE4	lineage4.3.2.1
ERR2515956	R	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE4	lineage4.3.2.1
ERR2515957	S	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE4	lineage4.8
ERR2515958	S	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE4	lineage4.4.1.1
ERR2515959	S	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE4	lineage4.4.1.1
ERR2515960	S	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE4	lineage4.3.2.1
ERR2515961	S	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE4	lineage4.1.1.3
ERR2515962	R	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE1	lineage1.2.2
ERR2515963	S	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE2	lineage2.2.1
ERR2515964	S	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE4	lineage4.3.2.1
ERR2515966	S	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE4	lineage4.4.1.1
ERR2515967	S	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE4	lineage4.9.x.x
ERR2515968	S	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE4	lineage4.3.2.1
ERR2515969	S	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE4	lineage4.9.x.x
ERR2515970	S	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE4	lineage4.3.4.2.1
ERR2515972	S	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE2	lineage2.2.1.1
ERR2515973	S	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE4	lineage4.3.2.1
ERR2515974	S	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE2	lineage2.2.1
ERR2515975	S	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE1	lineage1.2.2
ERR2515976	R	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE4	lineage4.1.2
ERR2515977	S	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE4	lineage4.4.1.1
ERR2515978	R	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE4	lineage4.8
ERR2515979	S	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE4	lineage4.3.3
ERR2515980	S	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE2	lineage2.2.1
ERR2515981	S	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	NA	NA
ERR2515982	R	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE4	lineage4.1.2.1
ERR2515983	S	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE4	lineage4.4.1.1
ERR2515984	R	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE4	lineage4.3.2.1
ERR2515985	S	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	NA	NA
ERR2515986	S	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE1	lineage1.2.2
ERR2515987	S	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE2	lineage2.2.1
ERR2515989	S	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE1	lineage1.2.2
ERR2515991	S	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE4	lineage4.8
ERR2515992	S	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE4	lineage4.8
ERR2515993	R	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE4	lineage4.1.2.1
ERR2515994	S	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE4	lineage4.1.2.1
ERR2515995	R	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE4	lineage4.1.1.1
ERR2515997	R	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE4	lineage4.4.1.1
ERR2515998	S	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	NA	NA
ERR2515999	S	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	NA	NA
ERR2516000	S	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE4	lineage4.3.2.1
ERR2516001	R	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE4	lineage4.3.2
ERR2516002	S	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE4	lineage4.3.4.2.1
ERR2516003	R	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE2	lineage2.2.1
ERR2516004	R	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE4	lineage4.3.2.1
ERR2516006	S	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE2	lineage2.2.1
ERR2516007	S	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE4	lineage4.3.2.1
ERR2516008	R	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE4	lineage4.3.3
ERR2516009	S	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE2	lineage2.2.1
ERR2516010	R	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE4	lineage4.3.4.2.1
ERR2516011	R	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE2	lineage2.2.1
ERR2516013	S	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE4	lineage4.1.2.1
ERR2516015	S	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE4	lineage4.4.1.1
ERR2516016	S	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE4	lineage4.3.2.1
ERR2516018	R	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE2	lineage2.2.1.1
ERR2516020	R	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE4	lineage4.1.1.3
ERR2516021	S	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	NA	NA
ERR2516022	S	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE4	lineage4.3.2.1
ERR2516024	R	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE2	lineage2.2.1
ERR2516025	R	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE4	lineage4.1.1.3
ERR2516026	S	PRJEB25997	0.1	liquid_media	MGIT	MGIT960	WHO_current	South_Africa	LINEAGE4	lineage4.3.2.1
