Run	pheno	Project	MIC	pdst_method1	pdst_method2	pdst_method3	pdst_classification	country	Lineage	Sublineage
ERR4810906	S	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE4	lineage4.2.2
ERR4810907	S	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE2	lineage2.2.1
ERR4810908	S	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE2	lineage2.2.1
ERR4810909	S	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE4	lineage4.5
ERR4810910	S	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE4	lineage4.2.2
ERR4810911	S	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE2	lineage2.2.1
ERR4810912	S	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE2	lineage2.2.1
ERR4810913	S	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE4	lineage4.5
ERR4810914	S	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE2	lineage2.2.1
ERR4810915	S	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE2	lineage2.2.1
ERR4810916	S	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE4	lineage4.4.2
ERR4810917	S	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE2	lineage2.2.1
ERR4810918	S	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE2	lineage2.2.1
ERR4810919	S	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE2	lineage2.2.1
ERR4810920	S	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE4	lineage4.4.2
ERR4810921	S	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE2	lineage2.2.1
ERR4810922	S	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE2	lineage2.2.1
ERR4810923	S	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE2	lineage2.2.1
ERR4810924	R	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE2	lineage2.2.1
ERR4810925	S	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE4	lineage4.11
ERR4810926	R	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE2	lineage2.2.1
ERR4810927	R	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE2	lineage2.2.1
ERR4810928	R	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE2	lineage2.2.1
ERR4810929	R	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE2	lineage2.2.1
ERR4810930	R	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE2	lineage2.2.1
ERR4810931	R	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE2	lineage2.2.1
ERR4810932	R	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE2	lineage2.2.1
ERR4810933	R	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE2	lineage2.2.1
ERR4810934	R	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE2	lineage2.2.1
ERR4810935	S	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE4	lineage4.2.2
ERR4810936	R	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE4	lineage4.2.2
ERR4810937	S	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE2	lineage2.2.1
ERR4810938	R	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE2	lineage2.2.1
ERR4810939	R	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE2	lineage2.2.1
ERR4810940	S	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE2	lineage2.2.2
ERR4810941	R	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE2	lineage2.2.1
ERR4810943	R	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE2	lineage2.2.1
ERR4810944	S	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE4	lineage4.4.2
ERR4810945	R	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE2	lineage2.2.1
ERR4810946	S	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE2	lineage2.2.1
ERR4810947	S	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE2	lineage2.2.1
ERR4810948	R	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE2	lineage2.2.1
ERR4810949	R	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE2	lineage2.2.1
ERR4810950	S	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE2	lineage2.2.1
ERR4810951	R	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE2	lineage2.2.1
ERR4810952	S	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE4	lineage4.2.2
ERR4810953	S	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE2	lineage2.2.1
ERR4810954	S	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE2	lineage2.2.1
ERR4810955	S	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE4	lineage4.5
ERR4810956	R	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE2	lineage2.2.1
ERR4810957	R	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE2	lineage2.2.1
ERR4810958	S	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE4	lineage4.2.2
ERR4810959	S	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE2	lineage2.2.1
ERR4810960	R	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE2	lineage2.2.1
ERR4810961	R	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE2	lineage2.2.1
ERR4810962	R	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE2	lineage2.2.1
ERR4810963	R	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE2	lineage2.2.1
ERR4810964	S	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE4	lineage4.5
ERR4810965	S	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE2	lineage2.2.2
ERR4810966	R	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE2	lineage2.2.1
ERR4810967	S	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE4	lineage4.5
ERR4810968	S	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE2	lineage2.2.1
ERR4810969	R	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE2	lineage2.2.1
ERR4810970	R	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE2	lineage2.2.1
ERR4810971	R	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE2	lineage2.2.1
ERR4810972	R	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE2	lineage2.2.1
ERR4810973	R	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE2	lineage2.2.1
ERR4810974	R	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE2	lineage2.2.1
ERR4810975	R	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE2	lineage2.2.1
ERR4810976	R	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE2	lineage2.2.1
ERR4810977	R	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE4	lineage4.5
ERR4810978	S	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE2	lineage2.2.2
ERR4810979	R	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE4	lineage4.2.2
ERR4810980	R	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE2	lineage2.2.1
ERR4810981	S	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE2	lineage2.2.1
ERR4810982	R	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE2	lineage2.2.1
ERR4810983	R	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE2	lineage2.2.2
ERR4810984	R	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE4	lineage4.4.2
ERR4810985	R	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE2	lineage2.2.1
ERR4810986	R	PRJEB41194	WHO	solid_media	NA	NA	WHO_undefined	China	LINEAGE2	lineage2.2.1
